Messi Games;Messi Goals;Messi Assists;Year;Ronaldo Assists;Ronaldo Goals;Ronaldo Games
32;18;17;2022/2023;4;12;26
34;11;14;2021/2022;3;24;39
47;38;12;2020/2021;5;36;44
44;31;25;2019/2020;5;37;46
50;51;19;2018/2019;10;28;43
54;45;18;2017/2018;8;44;44
52;54;16;2016/2017;11;42;46
49;41;23;2015/2016;15;51;48
57;58;27;2014/2015;21;61;54
46;41;14;2013/2014;14;51;47
50;60;15;2012/2013;12;55;55
60;73;30;2011/2012;15;60;55
55;53;23;2010/2011;16;53;54
53;47;11;2009/2010;8;33;35
51;38;17;2008/2009;9;26;53
40;16;13;2007/2008;7;42;49
36;17;3;2006/2007;14;23;53
25;8;3;2005/2006;8;12;47
9;1;0;2004/2005;8;9;50
0;0;0;2003/2004;6;6;40
0;0;0;2002/2003;4;5;31
